N/A,Reference #,Service,Status,Source,Category,N/A,District   ,Lat,Long,Date Time,Department,Q,Year,N/A,N/A,N/A,Agent   ,Customer,N/A
781,170314-000032,Abandoned Vehicle,Open,End-User pages,,,3,37.3382082,-121.8863286,45:55.0,,Tier1,2017,1,3,11,,Prajakta Portal,1
765,170314-000002,,Open,Public API,,,,22.45698701,12.12345679,45:35.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
749,170313-000005,Abandoned Vehicle,Open,Public API,,,,,,43:56.0,,Tier2,2017,1,3,11,,Anonymous User,1
716,170309-000013,Graffiti,Open,CX Console,SideWalk,,3,37.3351874,-121.8810715,45:36.0,,Tier1,2017,1,3,10,Prajakta Deep,Praj Test 4,1
700,170308-000011,,Open,CX Console,,,,37.3382,121.8863,57:40.0,,Tier1,2017,1,3,10,Pramod Bojja,Pramod Bojja,1
682,170306-000026,Abandoned Vehicle,Open,CX Console,,High,,37.3382,121.8863,13:57.0,,Tier1,2017,1,3,10,Prajakta Deep,Praj Test 1,1
665,170303-000025,Streetlight Outage,Open,Public API,,,,13.35690424,74.7153927,33:44.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
649,170302-000130,Abandoned Vehicle,Open,Public API,,,,13.40378344,74.78837829,17:15.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
629,170302-000082,General Request,Open,Public API,,High,,,121.8863,36:54.0,,Tier1,2017,1,3,9,,Mahesh Kumar G Kumar G,1
613,170302-000063,,Open,Public API,,High,,22.45698701,12.12345679,08:27.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
597,170302-000047,Abandoned Vehicle,Open,Public API,,High,,,,41:28.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
581,170302-000031,Pothole,Open,Public API,,High,,,,06:37.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
565,170302-000013,,Open,Public API,,High,,,,28:46.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
1140,170322-000059,Abandoned Vehicle,Open,CX Console,,,,37.3632265,-122.0539856,35:48.0,,Tier1,2017,1,3,12,Hemanth Kumar,Test Contact,1
549,170301-000042,General Request,Open,Public API,,High,,37.3382,121.8863,20:47.0,,Tier1,2017,1,3,9,,Mahesh Kumar G Kumar G,1
1124,170322-000039,Graffiti,Open,End-User pages,,,6,37.3196628,-121.9481566,33:52.0,,Tier1,2017,1,3,12,,Swati Nadimpalli,1
533,170228-000037,Abandoned Vehicle,Open,CX Console,,High,,37.3382,121.8863,30:52.0,,Tier1,2017,1,2,9,pradeep chandolu,Pradeep Chandolu,1
1107,170321-000118,Graffiti,Open,Web Console,Wood Fence,,,,,49:48.0,,Tier1,2017,1,3,12,Sharon Lee,Amber Struck,1
517,170228-000009,,Open,Public API,,,,13.3794024,74.7404278,07:38.0,,Tier2,2017,1,2,9,,Mahesh Kumar G Kumar G,1
1091,170321-000084,Streetlight Outage,Open,CX Console,,,,,,19:50.0,,Tier1,2017,1,3,12,Chris Mills,Gordon Hannah,1
501,170227-000046,,Open,Public API,,,,,,38:07.0,,Tier2,2017,1,2,9,,Anonymous User,1
1075,170321-000042,Streetlight Outage,Open,CX Console,,,,,,37:34.0,,Tier1,2017,1,3,12,Nishi Jahagirdar,Nishi demo J,1
485,170227-000028,,Open,CX Console,,,,37.3382,121.8863,51:56.0,,Tier1,2017,1,2,9,Swati Nadimpalli,Swati Nadimpalli,1
1044,170320-000151,Graffiti,Open,CX Console,Painted Wall,,,,,07:56.0,,Tier1,2017,1,3,12,agent tier1,Susan Duffy,1
1057,170320-000168,General Request,Open,End-User pages,,,3,37.3390171,-121.8838076,25:31.0,,Tier1,2017,1,3,12,,Susan Duffy,1
469,170226-000006,,Open,CX Console,,,3,37.3541079,-121.9552356,53:51.0,,Tier1,2017,1,2,9,pradeep chandolu,Pradeep Chandolu,1
1028,170320-000132,Pothole,Open,CX Console,,,1,37.3158243,-121.9535255,44:01.0,,Tier1,2017,1,3,12,Kia O'Hara,Stanford Yanni,1
453,170224-000057,,Open,End-User pages,,,,17.4977722,78.3890847,14:00.0,,Tier1,2017,1,2,8,,Pradeep Chandolu,1
437,170224-000041,,Open,Public API,,,,,,08:32.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
993,170320-000057,Illegal Dumping,Open,Public API,,,,37.2376349,-121.8071543,49:43.0,,,2017,1,3,12,,Anonymous User,1
977,170320-000019,General Request,Open,Public API,,,,37.29873479,-121.9238146,55:48.0,,Tier1,2017,1,3,12,,Mahesh Kumar G Kumar G,1
961,170319-000056,Graffiti,Open,Public API,Wood Fence,,,37.25239392,-121.6676804,19:28.0,,,2017,1,3,12,,Anonymous User,1
945,170318-000035,Abandoned Vehicle,Open,CX Console,,,,,,41:20.0,,Tier1,2017,1,3,11,agent tier1,Jim Dickson,1
913,170317-000032,Pothole,Open,Public API,,,,37.22638997,-121.9113786,48:32.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
897,170317-000002,General Request,Open,CX Console,City,,3,37.3414973,-121.9114563,29:31.0,,Tier1,2017,1,3,11,agent tier1,John Doe,1
881,170316-000043,Graffiti,Open,Public API,,,,37.2376349,-121.8071543,30:08.0,,Tier2,2017,1,3,11,,Anonymous User,1
865,170316-000023,Abandoned Vehicle,Open,End-User pages,,,3,37.3639472,-121.9289375,59:50.0,,Tier1,2017,1,3,11,,Swati Nadimpalli,1
849,170316-000004,Graffiti,Open,End-User pages,Painted Wall,,3,37.329008,-121.8887936,46:33.0,,Tier1,2017,1,3,11,,SV Vishnu,1
818,170315-000027,Abandoned Vehicle,Open,Public API,,,,37.2376349,-121.8071543,38:49.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
802,170314-000122,,Open,Public API,,,district name,37.34984049,-121.8946055,51:55.0,,Tier2,2017,1,3,11,,Nishi demo J,1
786,170314-000051,Graffiti,Open,Public API,,,,37.18358723,-121.7822061,32:48.0,,Tier2,2017,1,3,11,,Anonymous User,1
770,170314-000011,Graffiti,Open,Public API,Painted Wall,,,37.3382,121.8863,03:05.0,,Tier2,2017,1,3,11,,Nishi test8,1
738,170312-000023,Abandoned Vehicle,Open,Public API,,,,12.12345679,12.12345679,58:08.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
721,170310-000024,Abandoned Vehicle,Open,Public API,,,,,,00:06.0,,Tier2,2017,1,3,10,,Mahesh Kumar,1
705,170309-000002,,Open,End-User pages,,,,37.3382,121.8863,22:17.0,,Tier1,2017,1,3,10,,Prajakta Portal,1
687,170307-000028,,Open,End-User pages,,,,16.9595567,82.2420211,33:21.0,,Tier1,2017,1,3,10,,Swati Nadimpalli,1
670,170305-000000,Abandoned Vehicle,Open,Public API,,,,,,45:32.0,,Tier2,2017,1,3,10,,Mahesh Kumar G Kumar G,1
654,170303-000003,Graffiti,Open,Public API,Painted Wall,,,37.3382,121.8863,48:31.0,,Tier2,2017,1,3,9,,Nishi test8,1
638,170302-000109,Graffiti,Open,Public API,Painted Wall,High,,,,05:36.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
618,170302-000068,,Open,Public API,,High,,,12.12345679,58:17.0,,Tier2,2017,1,3,9,,Swati Nadimpalli,1
602,170302-000052,Graffiti,Open,Public API,Wood Fence,High,,,,44:01.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
586,170302-000036,Abandoned Vehicle,Open,Public API,,High,,,,16:59.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
570,170302-000018,,Open,Public API,,High,,,,35:59.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
554,170302-000002,,Open,Public API,,High,,13.3794021,13.3794021,37:33.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
1129,170322-000044,,Open,CX Console,,,,37.43888366,-122.1514893,15:47.0,,Tier1,2017,1,3,12,Hemanth Kumar,Test Contact,1
538,170301-000010,,Open,Public API,,High,,37.3382,121.8863,51:38.0,,Tier2,2017,1,3,9,,Nishi test8,1
1112,170321-000106,,Open,Web Console,,,,,,08:06.0,,Tier1,2017,1,3,12,Desiree Jafferies,James Marshal,1
506,170227-000051,Streetlight Outage,Open,Public API,,,district name,,13.3794021,36:56.0,,Tier2,2017,1,2,9,,chaithra moolya,1
1080,170321-000054,Graffiti,Open,Public API,Unpainted Wall,,,37.18426303,-121.9090786,05:55.0,,,2017,1,3,12,,Mahesh Kumar G Kumar G,1
490,170227-000033,,Open,Public API,,,,13.3794021,13.3794021,02:32.0,,Tier2,2017,1,2,9,,chaithra moolya,1
1062,170321-000006,Graffiti,Open,CX Console,Park Picnic Table,,,37.3647,-122.0594788,12:18.0,,Tier1,2017,1,3,12,Hemanth Kumar,Test Contact,1
474,170227-000005,,Open,CX Console,,,,37.18767265,-121.5472412,13:26.0,,Tier1,2017,1,2,9,pradeep chandolu,Pradeep Chandolu,1
1033,170320-000107,Graffiti,Open,CX Console,Painted Wall,,3,37.3505475,-121.9017498,50:25.0,,Tier1,2017,1,3,12,Terry Choy,Myles Schreck,1
458,170225-000002,Abandoned Vehicle,Open,End-User pages,,,,17.4976718,78.3889553,07:09.0,,Tier1,2017,1,2,8,,Anonymous User,1
1015,170320-000100,Graffiti,Open,CX Console,Painted Wall,,9,37.2614805,-121.8873578,13:21.0,,Tier1,2017,1,3,12,Kia O'Hara,Stanford Yanni,1
442,170224-000046,,Open,Public API,,,,37.3382,121.8863,45:08.0,,Tier2,2017,1,2,8,,Mahesh Kumar G Kumar G,1
998,170320-000066,,Open,Utilities,,,,,,59:36.0,,,2017,1,3,12,,Swati Nadimpalli,1
982,170320-000031,Pothole,Open,CX Console,,,,37.35924242,-122.0347595,08:07.0,,Tier1,2017,1,3,12,Hemanth Kumar,Test Contact,1
966,170320-000001,Illegal Dumping,Open,Web Console,Shopping Carts,,,,,14:23.0,,Tier1,2017,1,3,12,Prajakta Deep,Praj Test,1
950,170318-000040,Illegal Dumping,Open,CX Console,,,4,37.4212348,-121.8937188,48:17.0,,Tier1,2017,1,3,11,agent tier1,Jim Dickson,1
934,170317-000089,General Request,Open,End-User pages,Other,,,,,49:09.0,,Tier1,2017,1,3,11,,Siva Malyala,1
918,170317-000055,Graffiti,Open,End-User pages,,,3,37.339056,-121.8838877,18:27.0,,Tier1,2017,1,3,11,,Anonymous User,1
902,170317-000011,Abandoned Vehicle,Open,Public API,,,,37.07618425,-121.8647373,04:20.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
886,170316-000048,Illegal Dumping,Open,End-User pages,,,3,37.3351874,-121.8810715,34:54.0,,Tier1,2017,1,3,11,,Anonymous User,1
870,170316-000027,Graffiti,Open,Public API,,,,37.2376349,-121.8071543,57:33.0,,Tier2,2017,1,3,11,,Anonymous User,1
854,170316-000010,,Open,Public API,,,,37.34984049,-121.8946055,58:25.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
420,170224-000024,,Open,Public API,,,,12.12345679,12.12345679,59:58.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
210,170215-000053,,Open,Public API,,,,37.3382,121.8863,18:26.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
404,170224-000008,,Open,Public API,,,,13.3794024,74.7404278,41:47.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
194,170215-000037,,Open,Public API,,,,13.3794024,74.7404278,05:25.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
388,170223-000075,,Open,Public API,,,,12.12345679,12.12345679,24:33.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
178,170215-000021,,Open,Public API,,,,12.2365,12.54,44:38.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
372,170223-000059,,Open,Public API,,,,13.3794024,74.7404278,04:55.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
162,170215-000005,,Open,Public API,,,,37.3382,121.8863,35:45.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
356,170223-000043,,Open,Public API,,,,37.3382,121.8863,21:58.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
146,170214-000035,,Open,Public API,,,,37.3382,121.8863,03:09.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
340,170223-000027,,Open,Public API,,,,12.12345679,12.12345679,24:40.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
130,170214-000018,,Open,Public API,,,,37.3382,121.8863,13:47.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
324,170223-000010,,Open,Public API,,,,22.45698701,12.45698701,42:52.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
114,170214-000002,,Open,Public API,,,district name,37.3382,121.8863,30:09.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
308,170222-000025,General Request,Open,End-User pages,,,3,37.3382082,-121.8863286,53:06.0,,Tier1,2017,1,2,8,,Anonymous User,1
292,170222-000009,Abandoned Vehicle,Open,End-User pages,,,6,37.3196628,-121.9481566,20:40.0,,Tier1,2017,1,2,8,,Swati Nadimpalli,1
276,170221-000009,,Open,CX Console,Encampment,,,37.3382,121.8863,53:46.0,,Tier1,2017,1,2,8,Pramod Bojja,Pramod Bojja,1
55,170206-000003,Illegal Dumping,Open,Public API,,High,,38.754,121.886,44:14.0,,Tier1,2017,1,2,6,,Nishi J,1
39,170131-000001,,Open,CX Console,,,,,,22:47.0,,Tier1,2017,1,1,5,Krishna Reddy,Swati Nadimpalli,1
244,170216-000031,,Open,Public API,,,,37.3382,121.8863,10:17.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
23,170112-000012,General Request,Open,End-User pages,City,,,,,45:40.0,Retirement Services,Tier1,2017,1,1,2,agent tier1,Colin Warren,1
228,170216-000015,,Open,Public API,,,,37.3382,121.8863,58:01.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
1085,170321-000075,Abandoned Vehicle,Open,CX Console,,,,,,47:03.0,,Tier1,2017,1,3,12,Chris Mills,John Smith,1
495,170227-000038,,Open,Public API,,,,13.43194655,74.69510883,11:17.0,,Tier2,2017,1,2,9,,chaithra moolya,1
1069,170321-000024,Streetlight Outage,Open,Public API,,,,37.23764,-121.8072,33:07.0,,,2017,1,3,12,,Mahesh Kumar G Kumar G,1
479,170227-000010,Abandoned Vehicle,Open,CX Console,,High,3,37.30792178,-122.1350098,34:35.0,,Tier1,2017,1,2,9,pradeep chandolu,Pradeep Chandolu,1
1038,170320-000138,Streetlight Outage,Open,CX Console,,,3,37.3712553,-121.9020279,50:25.0,,Tier1,2017,1,3,12,Terry Choy,Myles Schreck,1
463,170226-000000,Abandoned Vehicle,Open,End-User pages,,,,17.4969375,78.3887412,19:35.0,,Tier1,2017,1,2,9,,Anonymous User,1
1022,170320-000126,Illegal Dumping,Open,CX Console,,,,,,54:11.0,,Tier1,2017,1,3,12,Nishi Jahagirdar,Nishi demo J,1
447,170224-000051,,Open,Public API,,,,13.3794024,74.7404278,41:01.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
1004,170320-000072,,Open,Utilities,,,,,,07:36.0,,,2017,1,3,12,,Nishi J,1
431,170224-000035,,Open,Public API,,,,,,48:23.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
987,170320-000047,Abandoned Vehicle,Open,Public API,,,,37.24027696,-121.837357,21:35.0,,,2017,1,3,12,,Mahesh Kumar G Kumar G,1
955,170319-000031,Streetlight Outage,Open,CX Console,,,,,,30:27.0,,Tier1,2017,1,3,12,Nishi Jahagirdar,Nishi demo J,1
939,170318-000019,,Open,Public API,,,,37.349365,-121.80284,17:07.0,,Tier1,2017,1,3,11,,Integration contact,1
923,170317-000075,,Open,CX Console,,,,,,16:34.0,,Tier1,2017,1,3,11,agent tier1,Siva Malyala,1
907,170317-000025,Abandoned Vehicle,Open,Public API,,,,37.29986243,-121.4186434,45:15.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
891,170316-000053,General Request,Open,Public API,,,,37.2376349,-121.8071543,43:18.0,,Tier1,2017,1,3,11,,Anonymous User,1
859,170316-000016,Illegal Dumping,Open,Public API,,,,37.2376349,-121.8071543,18:05.0,,Tier2,2017,1,3,11,,Fatima Mashooda,1
843,170315-000080,Illegal Dumping,Open,End-User pages,,,6,37.3157584,-121.9273763,47:20.0,,Tier1,2017,1,3,11,,Prajakta Portal,1
425,170224-000029,,Open,Public API,,,,13.3794024,74.7404278,06:12.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
215,170216-000002,,Open,Public API,,,,,,32:54.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
409,170224-000013,,Open,Public API,,,,12.12345679,12.12345679,13:01.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
199,170215-000042,,Open,Public API,,,,13.3794024,74.7404278,12:46.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
393,170223-000080,,Open,Public API,,,,,,37:56.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
183,170215-000026,,Open,Public API,,,,13.38,74.74,56:44.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
377,170223-000064,,Open,Public API,,,,13.3794024,74.7404278,09:10.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
167,170215-000010,,Open,Public API,,,,12.2365,12.54,40:48.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
361,170223-000048,,Open,Public API,,,,,,45:14.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
151,170214-000040,Abandoned Vehicle,Open,End-User pages,,,,16.3066525,80.4365402,04:43.0,,Tier1,2017,1,2,7,,Anonymous User,1
345,170223-000032,,Open,Public API,,,,12.12345679,12.12345679,51:46.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
135,170214-000024,,Open,Public API,,,district name,37.3382,121.8863,11:26.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
329,170223-000015,,Open,Public API,,,,22.45698701,12.12345679,45:19.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
119,170214-000007,,Open,Public API,,,,37.3382,121.8863,44:53.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
313,170222-000032,Pothole,Open,End-User pages,,,6,37.3011624,-121.931642,47:43.0,,Tier1,2017,1,2,8,,Anonymous User,1
99,170209-000002,Abandoned Vehicle,Open,End-User pages,,,,12.9715987,77.5945627,41:25.0,,Tier1,2017,1,2,6,,test test,1
297,170222-000014,Graffiti,Open,End-User pages,,,3,37.3351874,-121.8810715,28:12.0,,Tier1,2017,1,2,8,,Anonymous User,1
281,170221-000014,Abandoned Vehicle,Open,End-User pages,,,6,37.3196628,-121.9481566,25:55.0,,Tier1,2017,1,2,8,,Swati Nadimpalli,1
61,170207-000003,Streetlight Outage,Open,Public API,Street Light,,,,,48:35.0,,Tier2,2017,1,2,6,,Swati Nadimpalli,1
265,170220-000007,Illegal Dumping,Open,End-User pages,Street/Roadside,,,37.3382,121.8863,49:14.0,,Tier1,2017,1,2,8,,Pradeep Chandolu,1
44,170202-000000,Streetlight Outage,Open,Public API,Street Light,,,,,03:11.0,,Tier2,2017,1,2,5,,Swati Nadimpalli,1
249,170217-000001,Graffiti,Open,End-User pages,Painted Wall,,3,37.3351874,-121.8810715,43:11.0,,Tier1,2017,1,2,7,,Anonymous User,1
28,170124-000005,,Open,End-User pages,,,,17.5186369,78.3962529,29:52.0,,Tier1,2017,1,1,4,,Swati Nadimpalli,1
12,170111-000002,,Open,Public API,,,,,,27:06.0,Office of Economic Development,Tier2,2017,1,1,2,,Colin Warren,1
839,170315-000076,Graffiti,Open,Public API,Painted Wall,,,37.2376349,-121.8071543,31:06.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
823,170315-000042,,Open,CX Console,,,,37.3382,121.8863,56:37.0,,Tier1,2017,1,3,11,Nishi Jahagirdar,Nishi demo J,1
807,170315-000009,,Open,Web Console,,,,37.3382,121.8863,31:34.0,,Tier1,2017,1,3,11,Prajakta Deep,Praj Test 1,1
791,170314-000057,Abandoned Vehicle,Open,Public API,,,,37.2376349,-121.8071543,06:45.0,,Tier2,2017,1,3,11,,Anonymous User,1
775,170314-000026,Graffiti,Open,Public API,Painted Wall,,,37.3382,121.8863,58:18.0,,Tier2,2017,1,3,11,,Nishi test8,1
759,170313-000053,,Open,CX Console,,,,37.3382,121.8863,51:06.0,,Tier1,2017,1,3,11,Vishnu test,Nishi demo J,1
743,170312-000028,Graffiti,Open,Public API,,,,,,34:19.0,,Tier2,2017,1,3,11,,Anonymous User,1
710,170309-000007,,Open,CX Console,RV/Car,,,37.3382,121.8863,03:15.0,,Tier1,2017,1,3,10,Hemanth Kumar,Nishi J,1
694,170308-000004,,Open,End-User pages,Encampment,,,18.5303025,73.9135818,33:20.0,,Tier1,2017,1,3,10,,Swati Nadimpalli,1
675,170305-000005,Streetlight Outage,Open,End-User pages,,,6,37.3196628,-121.9481566,03:37.0,,Tier1,2017,1,3,10,,Swati Nadimpalli,1
659,170303-000018,Abandoned Vehicle,Open,Public API,,,,,,32:24.0,,Tier2,2017,1,3,9,,Anonymous User,1
643,170302-000121,Graffiti,Open,Public API,,High,,,,24:51.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
623,170302-000073,Streetlight Outage,Open,Public API,,High,district name,,121.8863,13:24.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
607,170302-000057,Pothole,Open,Public API,,High,,,,59:42.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
591,170302-000041,Graffiti,Open,Public API,Painted Wall,High,,13.3794021,13.3794021,34:09.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
575,170302-000023,,Open,Public API,,High,district name,37.3382,121.8863,46:45.0,,Tier2,2017,1,3,9,,Swati Nadimpalli,1
559,170302-000007,,Open,Public API,,High,,,,00:31.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
1134,170322-000052,Abandoned Vehicle,Open,CX Console,,,,,,26:36.0,,Tier1,2017,1,3,12,Prajakta Deep,Praj Test 132423,1
543,170301-000029,Abandoned Vehicle,Open,CX Console,,High,,37.3382,121.8863,58:37.0,,Tier1,2017,1,3,9,Pramod Bojja,Pramod Bojja,1
1118,170322-000011,Graffiti,Open,Web Console,Painted Wall,,,,,57:14.0,,Tier1,2017,1,3,12,Nishi Jahagirdar,Nishi demo J,1
527,170228-000030,,Open,CX Console,,High,,37.3382,121.8863,16:55.0,,Tier1,2017,1,2,9,Swati Nadimpalli,Swati Nadimpalli,1
1101,170321-000111,Abandoned Vehicle,Open,Web Console,,,3,37.3382636,-121.8857385,30:16.0,,Tier1,2017,1,3,12,Chris Mills,Colon Warren,1
511,170228-000002,,Open,Public API,,,,,,43:10.0,,Tier2,2017,1,2,9,,Anonymous User,1
382,170223-000069,,Open,Public API,,,,13.3794024,74.7404278,10:57.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
172,170215-000015,,Open,Public API,,,,12.2365,12.54,42:28.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
366,170223-000053,,Open,Public API,,,,13.3794024,74.7404278,56:16.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
156,170214-000045,,Open,Public API,,,,37.3382,121.8863,26:45.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
350,170223-000037,,Open,Public API,,,,12.12345679,12.12345679,01:40.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
140,170214-000029,,Open,Public API,,,,37.3382,121.8863,35:22.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
334,170223-000020,,Open,Public API,,,,37.3382,121.8863,59:21.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
124,170214-000012,,Open,Public API,,,,37.3382,121.8863,01:12.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
318,170223-000004,,Open,Public API,,,,,,46:27.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
108,170213-000002,,Open,Public API,,,district name,37.3382,121.8863,52:33.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
302,170222-000019,,Open,End-User pages,,,3,37.3351874,-121.8810715,44:48.0,,Tier1,2017,1,2,8,Swati Nadimpalli,Swati Nadimpalli,1
84,170208-000004,Illegal Dumping,Open,End-User pages,,,,17.6868159,83.2184815,55:16.0,,Tier1,2017,1,2,6,,test test,1
286,170222-000003,Abandoned Vehicle,Open,End-User pages,,,6,37.3541079,-121.9552356,55:49.0,,Tier1,2017,1,2,8,,Anonymous User,1
270,170221-000003,Abandoned Vehicle,Open,End-User pages,,,3,37.3382082,-121.8863286,32:47.0,,Tier1,2017,1,2,8,,Swati Nadimpalli,1
49,170203-000003,,Open,Public API,,,,,,16:31.0,,Tier1,2017,1,2,5,,test test,1
254,170219-000000,,Open,Public API,,,district name,37.3382,121.8863,22:43.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
33,170125-000000,,Open,End-User pages,,,,17.0070977,81.7925467,06:49.0,Animal Care & Services,Tier1,2017,1,1,4,,Swati Nadimpalli,1
238,170216-000025,,Open,Public API,,,,,,57:54.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
17,170111-000007,General Request,Open,End-User pages,County,,,,,34:38.0,Finance,Tier1,2017,1,1,2,agent tier1,Swati Nadimpalli,1
828,170315-000058,Abandoned Vehicle,Open,End-User pages,,,3,37.3351874,-121.8810715,12:02.0,,Tier1,2017,1,3,11,,Swati Nadimpalli,1
812,170315-000018,Graffiti,Open,Public API,,,,37.2376349,-121.8071543,09:50.0,,Tier2,2017,1,3,11,,Anonymous User,1
796,170314-000072,Graffiti,Open,Public API,,,,37.2376349,-121.8071543,59:57.0,,Tier2,2017,1,3,11,,Anonymous User,1
780,170314-000031,Graffiti,Open,Public API,,,,,,43:23.0,,Tier2,2017,1,3,11,,Anonymous User,1
764,170313-000063,Abandoned Vehicle,Open,Public API,,,,13.43216928,74.74511962,41:03.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
748,170313-000004,Abandoned Vehicle,Open,Public API,,,,,,43:23.0,,Tier2,2017,1,3,11,,Anonymous User,1
732,170311-000045,,Open,End-User pages,RV/Car,,3,37.34984049,-121.8946055,37:56.0,,Tier1,2017,1,3,10,,Anonymous User,1
715,170309-000012,,Open,Public API,,,,,,31:42.0,,Tier1,2017,1,3,10,,Pramod Bojja,1
699,170308-000010,Abandoned Vehicle,Open,CX Console,,,,37.3382,121.8863,54:11.0,,Tier1,2017,1,3,10,Hemanth Kumar,Nishi J,1
681,170306-000001,,Open,End-User pages,,,,37.3382,121.8863,47:25.0,,Tier1,2017,1,3,10,,Shubhangi Ghule,1
664,170303-000024,Illegal Dumping,Open,Public API,,,,13.43996078,74.7891796,31:27.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
648,170302-000128,Abandoned Vehicle,Open,Public API,,,,,,05:58.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
628,170302-000081,,Open,Public API,,High,,,,33:09.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
612,170302-000062,Abandoned Vehicle,Open,Public API,Painted Wall,High,district name,37.3382,-120.8863,46:58.0,,Tier2,2017,1,3,9,,Nishi test8,1
596,170302-000046,,Open,Public API,,High,district name,37.3382,121.8863,40:47.0,,Tier2,2017,1,3,9,,Swati Nadimpalli,1
580,170302-000029,Illegal Dumping,Open,Public API,,High,,,,05:52.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
564,170302-000012,Illegal Dumping,Open,Public API,,High,,,,27:14.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
